id,defense_multiplier,hp,attack,attack_speed,defense,dodge_frequency
1,Low,354.9,194.0,36.8,654.0,0.02
2,Low,567.2,165.5,57.8,463.5,0.15
3,Low,308.0,113.6,66.7,699.3,0.15
4,Very Low,501.8,71.2,112.8,961.9,0.22
5,Low,250.0,151.9,86.1,434.8,0.0
6,Low,710.3,133.6,48.3,434.8,0.24
7,Very Low,625.5,163.7,84.7,978.8,0.0
8,Low,298.2,148.1,44.1,735.2,0.06
9,Low,888.7,173.0,96.7,364.2,0.08
10,Low,1000.0,77.9,65.6,667.8,0.24
11,Low,250.0,189.0,73.1,366.0,0.15
12,Low,319.9,121.9,101.5,365.3,0.0
13,Low,317.3,200.0,49.3,577.6,0.0
14,Very High,250.0,68.6,47.1,10.0,0.18
15,Very High,956.8,200.0,63.3,10.0,0.14
16,Low,547.5,121.9,95.8,336.3,0.06
17,Low,519.2,70.9,44.6,201.2,0.08
18,Low,250.0,81.0,30.0,599.3,0.25
19,Low,879.2,90.8,66.0,232.6,0.07
20,Median,250.0,135.4,86.0,81.3,0.14
21,Low,649.0,141.4,99.0,944.7,0.3
22,Low,736.0,75.6,65.7,437.3,0.0
23,Low,1000.0,108.5,66.8,525.3,0.0
24,Median,250.0,200.0,98.1,77.6,0.27
25,Low,250.0,200.0,37.6,341.7,0.05
26,Low,698.5,136.2,67.2,538.3,0.1
27,Low,1000.0,112.3,78.8,159.7,0.03
28,Low,1000.0,117.2,84.0,617.7,0.11
29,Low,708.9,146.8,64.8,324.8,0.3
30,Low,428.3,48.6,75.7,417.5,0.27
31,Low,947.8,94.6,30.0,324.5,0.28
32,Very Low,250.0,20.0,61.8,1000.0,0.0
33,Low,815.5,134.0,84.1,501.0,0.0
34,Low,827.2,148.8,55.4,187.7,0.0
35,Low,1000.0,81.0,76.2,751.8,0.03
36,Low,1000.0,200.0,83.9,138.7,0.29
37,Low,782.0,36.5,68.1,567.7,0.23
38,Very High,421.4,22.1,78.4,10.0,0.12
39,Median,614.8,123.5,55.7,106.5,0.15
40,Low,250.0,172.8,70.9,564.1,0.05
41,Low,347.1,200.0,87.2,726.5,0.18
42,Low,461.3,82.5,78.1,556.4,0.26
43,Low,415.4,174.7,63.3,470.3,0.0
44,Low,685.9,107.7,79.5,414.7,0.19
45,Median,296.0,99.6,89.3,61.4,0.29
46,Low,1000.0,163.0,34.0,289.0,0.09
47,Low,625.1,149.1,98.2,366.8,0.26
48,Low,621.3,20.0,68.3,822.1,0.3
49,Low,493.8,198.6,83.5,608.1,0.13
50,Very High,687.1,192.8,98.9,10.0,0.21
51,Low,955.0,72.5,47.6,602.2,0.04
52,Low,278.1,133.7,60.8,389.5,0.18
53,Low,361.8,139.6,69.2,301.9,0.22
54,Low,503.5,125.6,59.3,688.5,0.18
55,Low,250.0,77.0,109.7,814.3,0.0
56,Low,297.3,69.7,57.9,784.4,0.18
57,Low,434.5,108.5,63.9,253.2,0.3
58,Low,974.8,180.4,79.1,412.2,0.22
59,Low,730.0,142.6,51.0,604.4,0.29
60,Low,702.4,87.8,67.1,797.7,0.11
61,Low,965.4,156.3,81.3,361.2,0.26
62,Low,570.1,20.0,68.3,449.3,0.19
63,Low,781.2,178.9,73.1,173.1,0.01
64,Low,583.7,20.0,64.4,146.1,0.2
65,Low,731.1,88.3,44.7,748.8,0.0
66,Low,391.9,42.8,81.4,911.9,0.06
67,Low,250.0,32.3,110.1,483.4,0.18
68,Low,571.3,179.6,75.4,806.1,0.19
69,Low,1000.0,81.9,79.5,613.5,0.0
70,Low,995.5,130.8,88.9,311.5,0.3
71,Low,1000.0,107.2,49.6,613.4,0.24
72,Very Low,1000.0,138.6,109.1,966.4,0.04
73,Low,660.5,114.6,79.0,494.3,0.0
74,Very Low,703.9,33.0,107.6,974.4,0.13
75,Very High,377.9,169.8,60.3,10.0,0.08
76,Low,498.6,80.4,111.4,751.6,0.17
77,Low,871.3,20.0,90.5,531.1,0.1
78,Low,1000.0,84.3,86.1,415.3,0.0
79,Low,569.2,200.0,79.7,532.5,0.09
80,Very High,444.9,161.0,70.0,10.0,0.1
81,Low,625.2,89.1,99.0,439.1,0.25
82,Low,865.5,89.0,77.8,612.1,0.05
83,Low,250.0,90.7,35.7,948.4,0.3
84,Low,250.0,200.0,52.7,349.5,0.0
85,Low,404.8,132.9,71.3,262.5,0.3
86,Low,250.0,135.8,81.2,354.5,0.12
87,Low,421.7,171.8,73.9,779.6,0.28
88,Low,565.9,124.3,99.4,603.6,0.16
89,Low,443.7,94.5,36.0,346.1,0.3
90,Low,1000.0,98.2,77.9,659.0,0.09
91,Low,755.7,105.7,38.6,534.1,0.0
92,Low,745.2,107.8,90.2,795.6,0.3
93,Low,873.9,153.7,73.1,294.4,0.13
94,Low,250.0,113.1,83.4,406.7,0.18
95,Low,1000.0,154.0,57.7,387.4,0.3
96,Median,594.7,105.2,100.6,65.9,0.0
97,Low,893.2,114.7,95.8,593.8,0.24
98,Low,250.0,20.0,86.7,583.3,0.06
99,Low,250.0,165.0,72.4,506.5,0.13
100,Low,952.2,130.8,86.6,434.6,0.16
101,Median,775.6,169.9,60.9,80.4,0.0
102,Low,264.2,20.0,92.1,378.8,0.03
103,Low,277.1,200.0,108.0,402.2,0.3
104,Low,1000.0,101.6,96.4,264.3,0.28
105,Low,250.0,176.5,60.4,456.6,0.14
106,Low,1000.0,47.6,82.2,626.2,0.19
107,Very Low,264.8,146.8,49.1,1000.0,0.11
108,Low,880.4,46.8,86.4,557.4,0.3
109,Low,493.6,72.6,84.0,582.3,0.12
110,Low,866.3,200.0,37.6,482.7,0.18
111,Very High,407.4,98.6,51.8,10.0,0.3
112,Low,559.9,123.0,69.3,497.0,0.03
113,Low,641.4,162.2,69.0,523.1,0.3
114,Very Low,250.0,139.7,50.8,1000.0,0.0
115,Low,921.3,119.0,82.8,447.3,0.3
116,Low,419.7,131.9,80.0,595.5,0.09
117,Low,533.6,200.0,71.1,494.6,0.11
118,Low,250.0,106.5,59.9,154.4,0.0
119,Low,250.0,122.1,96.0,847.8,0.08
120,Low,548.6,173.0,108.1,730.6,0.0
121,Low,1000.0,176.3,65.3,742.3,0.06
122,Low,938.8,181.2,62.8,232.2,0.13
123,Low,617.3,148.3,84.8,925.8,0.29
124,Median,519.8,41.4,67.8,84.4,0.18
125,Low,634.0,200.0,72.2,681.1,0.2
126,Very Low,843.8,41.2,89.8,1000.0,0.0
127,Low,250.0,128.2,36.8,207.8,0.02
128,Low,1000.0,64.7,101.4,335.1,0.3
129,Low,911.2,106.2,76.5,534.9,0.04
130,Low,912.3,129.7,66.8,354.0,0.3
131,High,800.4,129.3,73.2,39.8,0.11
132,Low,632.8,135.3,74.2,525.6,0.15
133,Low,894.1,200.0,40.4,186.3,0.3
134,Low,861.7,137.2,104.9,647.1,0.3
135,Low,483.4,95.4,75.8,229.2,0.13
136,Very Low,395.6,167.8,83.9,970.0,0.09
137,Low,665.7,181.4,94.0,270.0,0.14
138,Low,1000.0,36.3,54.6,408.4,0.2
139,Low,250.0,145.8,84.5,749.1,0.28
140,Low,250.0,152.1,69.6,135.7,0.15
141,Low,690.9,92.1,91.9,573.2,0.24
142,Low,645.4,192.5,32.5,897.1,0.3
143,High,694.3,101.0,73.0,22.8,0.21
144,Low,722.6,117.5,62.9,560.4,0.2
